cog_job,man_job,wage_h,cog_skill,man_skill,weight
.0575274,-1.344418,21.34529,2.669107,-.1755799,1.142149
.2957091,.6304017,16.51719,1.546194,-.3708695,1.336541
.8232538,-.6600541,22.34679,.4249482,-.3363961,1.200333
-.007508,-1.84321,11.13602,1.379063,-.2361576,1.303621
-.9741907,.9107477,19.16293,-.1718023,-.4510172,1.441865
1.375793,-2.235924,16.24813,-.2245513,.0055692,1.197708
-.3040069,-.1286635,16.50224,.307376,-.5399696,1.02858
.0709492,-2.508715,20.88191,.5651211,2.693925,1.018934
1.125747,.2684579,22.98954,.8657167,-.1373708,1.025928
.5994213,-1.266674,16.06876,.8679227,-.346514,.93023
1.46667,-2.021166,29.3722,1.270943,-1.756704,.9839572
2.344329,-.7359817,17.26457,.7208745,-.2507493,1.233539
1.725204,-1.392702,32.2272,1.393159,-1.845048,1.119862
.8622943,-1.228552,20.0299,.4583645,-.3884056,.8681133
-.7490619,.3027385,7.473841,.2389726,-.6685485,.8768795
2.277075,-.4880487,22.85501,.2664303,-.5189024,1.127265
1.088198,-.2501961,18.25112,.8090411,-.8088011,.8968377
.5658296,-.8969572,18.4006,-.4721608,-.327419,.9367173
.5350333,-.3697483,22.98954,1.284411,-2.741324,.9557291
-1.411177,1.190973,15.47085,-1.388739,.6801592,1.211139
.885555,.311069,15.7997,1.624988,-.7169428,.9635671
-.5963344,-.1617127,7.473841,.8688524,-1.284171,.960816
-.3604782,-.7088849,18.63976,-.0905426,-.4317292,1.059385
.6663394,1.562664,28.02691,1.711219,-.1653677,1.102517
.1430669,-.0043389,3.736921,1.019205,-.4095653,.9300241
.9409926,-.7290202,4.349776,.8947767,-1.15236,.8988721
-.9703296,.9290723,8.624813,-1.284717,.0325317,.8536023
.109652,-.3126331,17.93722,-.5461804,-1.858301,.8581453
-.6807606,.7958742,17.18983,-.974935,.4946177,.9820349
-.1166447,-.5434796,9.402093,-1.642531,.4597628,.9058906
-.4521117,1.624488,20.37369,-.9830249,.7748854,.9259186
-1.322728,.2248714,22.42152,.6855976,-.9979874,.8475083
.0762469,-2.496559,20.92676,-.7971224,-.1980447,.7993311
-.4821059,.0520251,28.16143,-.0346527,.120043,.8048242
.5696326,-.8904228,17.713,.4240762,-1.211103,.8530105
.4106093,-.2833692,16.38266,-.0036595,.0068675,.8048242
.6274115,-.3245904,21.03139,1.877957,-1.467209,1.047722
-.0866147,.2576534,18.0867,-1.464461,1.442088,.8426272
1.460624,-2.006095,23.99103,.6308963,-.8779663,.8426272
.5552352,-.8922128,25.56054,1.1447,-.7787777,.9003901
.2306358,-.2645537,12.13752,-.4462794,-1.200838,.9926811
-.7977381,.290015,23.91629,.3816264,-.597308,1.039921
1.146662,-2.524768,18.38565,-.1093603,.3453474,1.026707
.8179659,-.664219,22.98954,1.391201,-2.38057,.8855354
-.414427,.5375681,23.21375,.984457,-.7868573,1.143762
1.647077,-3.271343,23.8565,1.405172,-1.653571,.8927983
.3991517,-.2772307,45.15695,1.574638,-1.344717,1.723557
-.9969926,.1792999,10.26906,-1.35793,.7220376,1.233405
.3479938,-1.155133,7.473841,-.6218612,-.224111,1.05119
.6385569,2.059603,23.16891,1.758392,-1.655902,1.058488
1.247104,-.4182107,12.76532,.4029059,.7574968,.9650797
-.0664005,.1002381,15.02242,1.034402,-.1105982,1.082772
-.6700791,.7995219,15.85949,1.821421,1.866708,1.085716
.4908251,.1403551,10.88191,-.2197434,.3889783,1.151154
-.1571112,-.5115479,12.9148,-1.193255,.5772594,.9142873
-.221277,.5053037,23.70703,1.627739,-1.407157,1.10457
1.620528,-.6883883,16.51719,.4921461,.1503244,1.00278
-.9854581,.9195983,13.73692,-.2623157,1.45803,.8716345
